"","eventID","plotID","n"
"1","","OAES_001",4
"2","ABBY.2016.34","ABBY_002",17
"3","ABBY.2016.34","ABBY_003",1
"4","ABBY.2016.34","ABBY_004",41
"5","ABBY.2016.34","ABBY_007",5
"6","ABBY.2016.34","ABBY_010",3
"7","ABBY.2016.34","ABBY_011",3
"8","ABBY.2016.34","ABBY_014",3
"9","ABBY.2016.34","ABBY_023",11
"10","ABBY.2017.16","ABBY_002",4
"11","ABBY.2017.16","ABBY_003",6
"12","ABBY.2017.16","ABBY_007",10
"13","ABBY.2017.16","ABBY_010",20
"14","ABBY.2017.16","ABBY_011",2
"15","ABBY.2017.16","ABBY_014",4
"16","ABBY.2017.16","ABBY_023",32
"17","ABBY.2017.21","ABBY_004",17
"18","ABBY.2017.24","ABBY_002",10
"19","ABBY.2017.24","ABBY_003",4
"20","ABBY.2017.24","ABBY_004",42
"21","ABBY.2017.24","ABBY_007",13
"22","ABBY.2017.24","ABBY_010",32
"23","ABBY.2017.24","ABBY_011",3
"24","ABBY.2017.24","ABBY_014",1
"25","ABBY.2017.24","ABBY_023",44
"26","ABBY.2017.28","ABBY_002",14
"27","ABBY.2017.28","ABBY_003",6
"28","ABBY.2017.28","ABBY_004",33
"29","ABBY.2017.28","ABBY_007",4
"30","ABBY.2017.28","ABBY_010",16
"31","ABBY.2017.28","ABBY_011",2
"32","ABBY.2017.28","ABBY_014",2
"33","ABBY.2017.28","ABBY_023",32
"34","ABBY.2017.32","ABBY_002",25
"35","ABBY.2017.32","ABBY_003",6
"36","ABBY.2017.32","ABBY_004",9
"37","ABBY.2017.32","ABBY_007",11
"38","ABBY.2017.32","ABBY_010",21
"39","ABBY.2017.32","ABBY_011",3
"40","ABBY.2017.32","ABBY_014",6
"41","ABBY.2017.32","ABBY_023",24
"42","ABBY.2018.23","ABBY_002",2
"43","ABBY.2018.23","ABBY_004",3
"44","ABBY.2018.23","ABBY_007",5
"45","ABBY.2018.23","ABBY_010",4
"46","ABBY.2018.23","ABBY_023",20
"47","ABBY.2018.27","ABBY_002",3
"48","ABBY.2018.27","ABBY_004",7
"49","ABBY.2018.27","ABBY_007",8
"50","ABBY.2018.27","ABBY_010",5
"51","ABBY.2018.27","ABBY_014",1
"52","ABBY.2018.27","ABBY_023",34
"53","ABBY.2018.31","ABBY_002",6
"54","ABBY.2018.31","ABBY_004",6
"55","ABBY.2018.31","ABBY_007",6
"56","ABBY.2018.31","ABBY_010",8
"57","ABBY.2018.31","ABBY_014",5
"58","ABBY.2018.31","ABBY_023",22
"59","ABBY.2018.35","ABBY_002",7
"60","ABBY.2018.35","ABBY_004",20
"61","ABBY.2018.35","ABBY_007",10
"62","ABBY.2018.35","ABBY_010",5
"63","ABBY.2018.35","ABBY_014",4
"64","ABBY.2018.35","ABBY_023",13
"65","ABBY.2019.26","ABBY_002",1
"66","ABBY.2019.26","ABBY_004",20
"67","ABBY.2019.26","ABBY_007",5
"68","ABBY.2019.26","ABBY_010",5
"69","ABBY.2019.26","ABBY_014",5
"70","ABBY.2019.26","ABBY_023",19
"71","ABBY.2019.30","ABBY_002",1
"72","ABBY.2019.30","ABBY_004",12
"73","ABBY.2019.30","ABBY_007",3
"74","ABBY.2019.30","ABBY_010",3
"75","ABBY.2019.30","ABBY_014",3
"76","ABBY.2019.30","ABBY_023",11
"77","ABBY.2019.34","ABBY_002",7
"78","ABBY.2019.34","ABBY_004",22
"79","ABBY.2019.34","ABBY_007",5
"80","ABBY.2019.34","ABBY_010",10
"81","ABBY.2019.34","ABBY_014",5
"82","ABBY.2019.34","ABBY_023",17
"83","ABBY.2019.38","ABBY_002",4
"84","ABBY.2019.38","ABBY_004",29
"85","ABBY.2019.38","ABBY_007",11
"86","ABBY.2019.38","ABBY_010",23
"87","ABBY.2019.38","ABBY_014",10
"88","ABBY.2019.38","ABBY_023",20
"89","ABBY.2020.33","ABBY_002",6
"90","ABBY.2020.33","ABBY_004",5
"91","ABBY.2020.33","ABBY_014",1
"92","ABBY.2020.33","ABBY_023",8
"93","ABBY.2020.37","ABBY_002",5
"94","ABBY.2020.37","ABBY_004",21
"95","ABBY.2020.37","ABBY_007",5
"96","ABBY.2020.37","ABBY_010",3
"97","ABBY.2020.37","ABBY_014",3
"98","ABBY.2020.37","ABBY_023",33
"99","ABBY.2021.23","ABBY_002",8
"100","ABBY.2021.23","ABBY_004",11
"101","ABBY.2021.23","ABBY_007",6
"102","ABBY.2021.23","ABBY_010",9
"103","ABBY.2021.23","ABBY_014",3
"104","ABBY.2021.23","ABBY_023",27
"105","ABBY.2021.27","ABBY_002",9
"106","ABBY.2021.27","ABBY_004",12
"107","ABBY.2021.27","ABBY_007",5
"108","ABBY.2021.27","ABBY_010",11
"109","ABBY.2021.27","ABBY_014",4
"110","ABBY.2021.27","ABBY_023",21
"111","ABBY.2021.31","ABBY_002",7
"112","ABBY.2021.31","ABBY_004",10
"113","ABBY.2021.31","ABBY_007",5
"114","ABBY.2021.31","ABBY_010",4
"115","ABBY.2021.31","ABBY_014",1
"116","ABBY.2021.31","ABBY_023",11
"117","ABBY.2021.35","ABBY_002",11
"118","ABBY.2021.35","ABBY_004",24
"119","ABBY.2021.35","ABBY_007",7
"120","ABBY.2021.35","ABBY_010",11
"121","ABBY.2021.35","ABBY_014",5
"122","ABBY.2021.35","ABBY_023",17
"123","ABBY.2022.25","ABBY_002",8
"124","ABBY.2022.25","ABBY_004",3
"125","ABBY.2022.25","ABBY_007",4
"126","ABBY.2022.25","ABBY_010",5
"127","ABBY.2022.25","ABBY_014",3
"128","ABBY.2022.25","ABBY_023",18
"129","ABBY.2022.29","ABBY_002",2
"130","ABBY.2022.29","ABBY_004",2
"131","ABBY.2022.29","ABBY_007",1
"132","ABBY.2022.29","ABBY_023",2
"133","ABBY.2022.34","ABBY_002",8
"134","ABBY.2022.34","ABBY_004",5
"135","ABBY.2022.34","ABBY_007",1
"136","ABBY.2022.34","ABBY_010",2
"137","ABBY.2022.34","ABBY_023",2
"138","ABBY.2022.37","ABBY_002",4
"139","ABBY.2022.37","ABBY_004",9
"140","ABBY.2022.37","ABBY_007",2
"141","ABBY.2022.37","ABBY_010",4
"142","ABBY.2022.37","ABBY_023",4
"143","BART.2014.22","BART_001",4
"144","BART.2014.22","BART_007",4
"145","BART.2014.22","BART_012",2
"146","BART.2014.22","BART_015",7
"147","BART.2014.26","BART_001",29
"148","BART.2014.26","BART_007",35
"149","BART.2014.26","BART_012",29
"150","BART.2014.26","BART_015",35
"151","BART.2014.26","BART_062",15
"152","BART.2014.35","BART_001",41
"153","BART.2014.35","BART_007",38
"154","BART.2014.35","BART_012",42
"155","BART.2014.35","BART_015",48
"156","BART.2014.35","BART_062",25
"157","BART.2014.43","BART_001",19
"158","BART.2014.43","BART_007",26
"159","BART.2014.43","BART_012",37
"160","BART.2014.43","BART_015",46
"161","BART.2014.43","BART_062",20
"162","BART.2015.25","BART_001",1
"163","BART.2015.25","BART_007",2
"164","BART.2015.25","BART_012",1
"165","BART.2015.25","BART_015",3
"166","BART.2015.25","BART_062",1
"167","BART.2015.29","BART_001",5
"168","BART.2015.29","BART_007",9
"169","BART.2015.29","BART_012",10
"170","BART.2015.29","BART_015",11
"171","BART.2015.29","BART_062",6
"172","BART.2015.29","BART_084",9
"173","BART.2015.38","BART_001",3
"174","BART.2015.38","BART_007",6
"175","BART.2015.38","BART_012",11
"176","BART.2015.38","BART_015",8
"177","BART.2015.38","BART_062",11
"178","BART.2015.38","BART_084",6
"179","BART.2015.42","BART_001",4
"180","BART.2015.42","BART_007",1
"181","BART.2015.42","BART_012",8
"182","BART.2015.42","BART_015",7
"183","BART.2015.42","BART_062",4
"184","BART.2015.42","BART_084",6
"185","BART.2016.19","BART_001",6
"186","BART.2016.19","BART_007",3
"187","BART.2016.19","BART_012",1
"188","BART.2016.19","BART_015",14
"189","BART.2016.19","BART_062",7
"190","BART.2016.19","BART_084",10
"191","BART.2016.27","BART_001",9
"192","BART.2016.27","BART_007",17
"193","BART.2016.27","BART_012",13
"194","BART.2016.27","BART_015",27
"195","BART.2016.27","BART_062",27
"196","BART.2016.27","BART_084",10
"197","BART.2016.36","BART_012",34
"198","BART.2016.36","BART_015",45
"199","BART.2016.36","BART_062",33
"200","BART.2016.40","BART_001",11
"201","BART.2016.40","BART_007",18
"202","BART.2016.40","BART_012",28
"203","BART.2016.40","BART_015",34
"204","BART.2016.40","BART_062",22
"205","BART.2016.40","BART_084",8
"206","BART.2017.21","BART_001",1
"207","BART.2017.21","BART_007",3
"208","BART.2017.21","BART_012",5
"209","BART.2017.21","BART_015",3
"210","BART.2017.21","BART_084",2
"211","BART.2017.26","BART_001",2
"212","BART.2017.26","BART_007",4
"213","BART.2017.26","BART_012",9
"214","BART.2017.26","BART_015",4
"215","BART.2017.26","BART_062",2
